audit_id	case_id	step	step_layer	group_uid	rollout_index	data_source	source_file	source_line	question	gold_answers_reference_only	actor_answer	actor_em	actor_f1	search_count	duplicate_query_count	teacher_called	group_all_em_zero	historical_teacher_status	historical_teacher_answer	manual_label	manual_status	manual_answer	manual_reason	annotator	annotated_at	evidence_sha256	source_row_sha256
newdata512-0011	new5100-s02-2204b8fc-080c-45d5-876b-915bad17a9dc-r7	2	L1_steps_01_20	2204b8fc-080c-45d5-876b-915bad17a9dc	7	musique	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	448	The mosaic in the church, in the birthplace of Yiannis Papadopoulos, is known as what?	"[""Christ in majesty (or Ezekiel's Vision)""]"		0.0	0.0	5	2	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		The retrieved church and mosaic passages do not establish Yiannis Papadopoulos's birthplace, the relevant church, or the mosaic's name.	Codex	2026-07-15T17:01:35+08:00	0e50bb3f00d87bdd633b55c435f9bb6027ccb8f596a26bedc98bf51794a7a38d	189e682c0969c08b7322adcac0abde43f390411b9c42a9722ecb638bbcd925d1
newdata512-0012	new5100-s02-3cee87b5-d394-4ebe-8505-41df059c0b3c-r0	2	L1_steps_01_20	3cee87b5-d394-4ebe-8505-41df059c0b3c	0	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	33	where is the national open university of nigeria located?	"[""Jabi, Abuja""]"	The National Open University of Nigeria is located in Jabi, Abuja, Nigeria.	0.0	0.3076923076923077	1	0	true	true	supported_answer	Jabi, Abuja	S	supported_answer	Jabi, Abuja	The university passage explicitly identifies its permanent headquarters as Jabi, Abuja.	Codex	2026-07-15T17:01:35+08:00	abd62de07adc11036ab86db9d69da9d6bb3d2acaa1d17c0fad37e6007e9dafe7	8f3f1395813b1024a7d6359385770a44de9a99adf79136defdaa1fbfceb0f6a5
newdata512-0013	new5100-s02-6571289e-3e5f-46c9-a71b-111ba77dc4e4-r7	2	L1_steps_01_20	6571289e-3e5f-46c9-a71b-111ba77dc4e4	7	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	488	who is the chief minister of arunachal pradesh today?	"[""Pema Khandu""]"	Pema Khandu	1.0	1.0	1	0	false	false			S	supported_answer	Pema Khandu	Evidence explicitly identifies Pema Khandu as Chief Minister of Arunachal Pradesh and says he has held the office since July 2016.	Codex	2026-07-15T17:01:35+08:00	b1b8341ba73b66ea8aebd8c690567c4f94e8a4550b3efc4c6d2efae05b85153e	873a15fa2e38ad7869a6f05c22181e30d4cdbe086d720dd9e8953b5ca5ec6de9
newdata512-0014	new5100-s02-6a7e9d72-2e8f-450f-a766-a0bd6c947a88-r4	2	L1_steps_01_20	6a7e9d72-2e8f-450f-a766-a0bd6c947a88	4	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	351	delivers it enabled services via internet that are built for the end user to be in control?	"[""Internet television""]"		0.0	0.0	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence defines internet service providers and hosted services but does not identify the service described by the question.	Codex	2026-07-15T17:01:35+08:00	82cbadfca810c1ee7a5cb047f416a6e2cbebce5373e336f53c550c33eae408ad	935440d51bcac0d5300c6d0902064c17c38d2904432ca154b6c95fe2eca4091a
newdata512-0015	new5100-s02-7d912059-e694-4f58-b618-1fe3d722b406-r5	2	L1_steps_01_20	7d912059-e694-4f58-b618-1fe3d722b406	5	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	276	The concept of imagined geographies originated from an author who defined them as the West's patronizing representations of what?	"[""The East""]"	Edward Said defined imagined geographies as the West's patronizing representations of Asia.	0.0	0.0	1	0	true	true	supported_answer	the 'Orient'	S	supported_answer	the Orient	The imagined-geographies passage explicitly ties Said's concept to the West's representations of the Orient.	Codex	2026-07-15T17:01:35+08:00	cd09876ac735cb7466784fcf319f2abf0413a395e9ea56b293dd2c9e11af000f	0b2abf4093d6d68bf561ee0f057e5e034e1d784e6dbeb50218c280894d63cf8e
newdata512-0016	new5100-s02-8158a840-7cb7-4b66-b151-e3db8f665100-r7	2	L1_steps_01_20	8158a840-7cb7-4b66-b151-e3db8f665100	7	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	416	what is the name of the fish that eats algae?	"[""Algae eater""]"	Siamese algae-eater	0.0	0.0	1	0	true	true	insufficient_evidence	证据不足无法作答	A	ambiguous_evidence		The underspecified question is satisfied by multiple visible algae-eating fish, including the Siamese algae-eater, red algae-eater, and flying fox.	Codex	2026-07-15T17:01:35+08:00	43e031905ccd343faff5a028845475ab3f6cb8930451c54329c581c16da0bb36	3c63401324072ec5b31304a62b3a9da4397e6d35fad062df46d69158cbf6f4c2
newdata512-0017	new5100-s02-9eddd13a-718c-49b1-a89c-bd6a056a1d88-r3	2	L1_steps_01_20	9eddd13a-718c-49b1-a89c-bd6a056a1d88	3	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	162	Raúl Baglini served in both houses of a legislative branch of government whose composition is what?	"[""bicameral""]"		0.0	0.0	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence states that Argentina's legislature is bicameral but never connects Raul Baglini to service in both houses of that legislature.	Codex	2026-07-15T17:01:35+08:00	68069a92c57a44f2c638cd5a322488066d9fb511bd4dadfd6a328c4893921e54	a7593c7374eceede585a6ec8ff3faa1dd759463d6fc13bbe250ebc03353e3805
newdata512-0018	new5100-s02-b4b91caf-799b-4076-a098-af5c63c07191-r3	2	L1_steps_01_20	b4b91caf-799b-4076-a098-af5c63c07191	3	musique	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	182	What is the total surface area of the city where the Bell stamp officially released?	"[""89.6 square miles""]"		0.0	0.0	2	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence does not identify the Bell stamp, its official release city, or the required city-to-surface-area chain.	Codex	2026-07-15T17:01:35+08:00	68f9f254caf8ce4ba40efe386f4c47145e07c3c1b8ae15557e3d575b3518c880	8ec3a25643a4019881441f3cc7185436d02b6f0dc94200dea0c303ed71a825af
newdata512-0019	new5100-s02-e79ac3de-139a-4cd7-b805-780e476c2c6f-r2	2	L1_steps_01_20	e79ac3de-139a-4cd7-b805-780e476c2c6f	2	musique	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/2.jsonl	122	When did the group that ruled the country whose influence decreased due to the Scottish reformation during the reign of terror start?	"[""April 1793""]"		0.0	0.0	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		The Scottish Reformation passages do not establish the country, ruling group, Reign of Terror link, or the group's start date.	Codex	2026-07-15T17:01:35+08:00	aa74d7397d1b148e9d24bd90f4520042cf15181977ad35bcfe246326c0f40ec0	8d8792d53605b0ac40afa64eed22e068339480bfbd8f0c21d565880e57a1a262
newdata512-0020	new5100-s03-0e1f527a-dc28-4225-840c-6a9f0c4e3bbd-r6	3	L1_steps_01_20	0e1f527a-dc28-4225-840c-6a9f0c4e3bbd	6	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	448	who has the power to establish new high court?	"[""the Crown""]"		0.0	0.0	5	3	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		The question lacks a jurisdiction and the retrieved supreme-court passages do not state that the Crown has the requested power to establish a new high court.	Codex	2026-07-15T17:01:35+08:00	0fde54354f5a73439125d70ae6eb04cef0c80d001e91f264c5360fb138c31c8c	eed222cf7fc9234ce62bdffa5c1784f0f0fd406be6f512222b5e0c33028a1ec0
newdata512-0021	new5100-s03-3f42d199-6992-45b4-88d8-97c55e34153b-r6	3	L1_steps_01_20	3f42d199-6992-45b4-88d8-97c55e34153b	6	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	416	record number of overtime periods in nhl playoffs?	"[""sextuple overtime""]"		0.0	0.0	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence explains NHL playoff overtime rules but does not provide the record number of overtime periods.	Codex	2026-07-15T17:01:35+08:00	50607764ae69d0e403d2ac76ba98819f0850fc49957b71f6c36c9522a1e43c31	0ba8f491955b98dc1a360c17f5fd988f8a3f31f56233bf56480e419c2bf8b8f8
newdata512-0022	new5100-s03-52a7da77-20b1-4762-81f2-d7da87b6002c-r0	3	L1_steps_01_20	52a7da77-20b1-4762-81f2-d7da87b6002c	0	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	23	what was the first national lampoon vacation movie?	"[""National Lampoon's Vacation""]"	National Lampoon's Vacation	1.0	1.0	1	0	false	false			S	supported_answer	National Lampoon's Vacation	The film-series evidence identifies National Lampoon's Vacation as the first film in the Vacation series.	Codex	2026-07-15T17:01:35+08:00	3e77df5cd32162ea417c7e9f74bcf265ac2e01c235d445e3eda1a9919fe2e51f	47908cea64c48dec82943dca4c7d030fc3e00bf988936f0b5bf557ce72155f5b
newdata512-0023	new5100-s03-6bb367ab-f73d-4d59-a9e5-80ae25084dfe-r7	3	L1_steps_01_20	6bb367ab-f73d-4d59-a9e5-80ae25084dfe	7	musique	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	438	Where is SMA Negeri 68 of Chrisye's place of death located?	"[""Central Jakarta""]"	SMA Negeri 68 of Chrisye's place of death is located in Jakarta, Indonesia.	0.0	0.13333333333333336	2	0	true	true	ambiguous_evidence	证据不足无法作答	S	supported_answer	Central Jakarta	The SMA Negeri 68 Jakarta passage directly states that the school is located in Central Jakarta; the Chrisye clause does not create a competing school location.	Codex	2026-07-15T17:01:35+08:00	67de1fd4685ecda7f47f870c5575bcded5ebea99b74cabadb7a5ca1f82ad49ff	1f860c8ba5be5b6a569b5c26e9f973c9ff06d679a7dedddd62b48ff93e556f56
newdata512-0024	new5100-s03-7a18a03a-4d63-49f4-aad0-d30e09bacd10-r6	3	L1_steps_01_20	7a18a03a-4d63-49f4-aad0-d30e09bacd10	6	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	415	when did wheel of fortune go on the air?	"[""January 6, 1975""]"	January 6, 1975	1.0	1.0	1	0	false	false			S	supported_answer	January 6, 1975	The Wheel of Fortune passage explicitly states that the show premiered on January 6, 1975.	Codex	2026-07-15T17:01:35+08:00	1346f6793d0e1c63b5b4d952125403060e7f484007a888f51e42847a7766a2c0	67ca7345b207db36cfae8eab97772bd49e5c1228ad87f169f9418b717ba7442a
newdata512-0025	new5100-s03-7cb7223b-af2c-48ea-a4db-5ab7ba4d0554-r3	3	L1_steps_01_20	7cb7223b-af2c-48ea-a4db-5ab7ba4d0554	3	2wikimultihopqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	230	Do director of film The Breakup Guru and director of film Shake, Rattle & Roll Iv have the same nationality?	"[""no""]"	No, the directors of The Breakup Guru (Deng Chao) and Shake, Rattle & Roll II (Michael Worth) have different nationalities (Chinese vs. American).	0.0	0.09523809523809523	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence identifies directors associated with the films but does not establish the nationality of the Shake, Rattle & Roll IV director needed for comparison.	Codex	2026-07-15T17:01:35+08:00	58d9686c1a9ff867c05c8958baa335b4858be6a43b348c2682df29223ae1f2fd	f2d99a8caae78289d97fc837e1fae6a21d84f1782d7bbeb4c4b7c99eba0234c6
newdata512-0026	new5100-s03-afcf1d85-b501-40a1-8391-ec4251262e29-r4	3	L1_steps_01_20	afcf1d85-b501-40a1-8391-ec4251262e29	4	musique	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	274	Where is the region where the C-32 highway runs located?	"[""Iberian Peninsula""]"	Catalonia, Spain	0.0	0.0	1	0	true	true	supported_answer	Catalonia, Spain	I	insufficient_evidence		Evidence states that the C-32 runs in Catalonia, Spain but does not establish where that region is geographically located, such as the Iberian Peninsula.	Codex	2026-07-15T17:01:35+08:00	e4d17994592ce222b287f746e8d653a7479b91031c4eb5fe3ad263443f0e4a24	bf175a31f968f6fbc52196f39574880b39e030bb9d48bd3b243341f8e4e06916
newdata512-0027	new5100-s03-be39c089-6e7e-4cf4-8c25-b59e5de7e6ff-r4	3	L1_steps_01_20	be39c089-6e7e-4cf4-8c25-b59e5de7e6ff	4	nq	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/3.jsonl	382	maximum length of a probation order in canada?	"[""3 years""]"	The maximum length of a probation order in Canada is 3 years.	0.0	0.33333333333333337	1	0	true	true	supported_answer	3 years	S	supported_answer	3 years	The Canadian sentencing passage explicitly states that the maximum length of a probation order is three years.	Codex	2026-07-15T17:01:35+08:00	a36bb7f93e9dce297961b1140cfe79c5dbdb461a21925ddbe6580829e2864c1d	ab2b969187f7f31e0e54994ec87b2aa928a4eb3a286adda3f58abaa7a670e7dc
newdata512-0028	new5100-s04-0e34a9d7-e414-4cf1-8f9f-7996ab2ebb9f-r6	4	L1_steps_01_20	0e34a9d7-e414-4cf1-8f9f-7996ab2ebb9f	6	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/4.jsonl	374	Which tree is incorporated in Disney's Rivers of Light show?	"[""Tree of Life""]"	The Tree of Life	1.0	1.0	1	0	false	false			S	supported_answer	Tree of Life	The Rivers of Light passage explicitly says that the show incorporates the park's Tree of Life.	Codex	2026-07-15T17:01:35+08:00	31a1af6d5c3682f36a180814f0a78bfdc040fb401e15538357683690f1d48506	96f56da3a14062532fd63e3100f1873c5e3bb3da30853bd9f9343e487092e096
newdata512-0029	new5100-s04-63df9228-6303-4f4c-9a32-e7fb19950888-r4	4	L1_steps_01_20	63df9228-6303-4f4c-9a32-e7fb19950888	4	hotpotqa	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/4.jsonl	230	Larry Flynt Publications owns Hustler TV and is run by who?	"[""Tony Cochi""]"	Larry Flynt	0.0	0.0	1	0	true	true	supported_answer	Larry Flynt	S	supported_answer	Larry Flynt	Visible evidence identifies Larry Flynt as president of Larry Flynt Publications, providing the sole supported person running the company even though it differs from the reference gold.	Codex	2026-07-15T17:01:35+08:00	a37f150f30dbd2d0fdb6adc8b7b23b893a350d3c06e8c805c311f811d62934d4	19329489a597d2406b73b7045eb9549dcaa1d34815cfb648a207e2391f889ca9
newdata512-0030	new5100-s04-67803358-2ad5-40f4-8d4f-aed4bde2767f-r2	4	L1_steps_01_20	67803358-2ad5-40f4-8d4f-aed4bde2767f	2	musique	log/agenticIterRag/260715-005906-987696-pipeline-agentic_iter_rag_v1_spad_qwen3_1_7b_newdata_5100_gold_token_f1_v3_postnorm03_stage1/outputs/stages/train_agent/spad_rag/search_policy_rl/rollout_data/4.jsonl	167	When was free education introduced in the country where the resort town of Kalkudah is located?	"[""1 October 1945""]"	Free education was introduced in Turkey in 1963.	0.0	0.0	1	0	true	true	insufficient_evidence	证据不足无法作答	I	insufficient_evidence		Evidence places Kalkudah/Pasikudah in Sri Lanka but contains no fact stating when free education was introduced there.	Codex	2026-07-15T17:01:35+08:00	fe42c3f823b2fbdfe54d35403897a78152261bb5d3874e3691b6eabe530b7ff7	f02914de3544b89be1017dde62d60b3a09f7733fe0a09db5bd94d14f7c9512e3
