审查ID	step	自动分层	uid	问题	gold	模型答案	证据标签	答案标签	人工审查说明
S1-hit_invalid-01	1	hit_invalid	824037a0-10da-468f-87cc-4e0227d60d92	when was the last time ireland won eurovision?	1996		S	N	证据明确最近一次为 1996，但重复搜索五次且未形成闭合答案
S1-hit_invalid-02	1	hit_invalid	d8447fc1-17eb-4412-a887-7743690b5056	What was the name of the United States Army Installation in Kansas where Australian singer-songwriter and producer Ross Edwin Ryan was born?	Fort Leavenworth		I	N	只出现 Fort Leavenworth 实体，未建立 Ross Ryan 出生关系
S1-hit_invalid-03	1	hit_invalid	ae4ab61c-f3cf-4397-befc-cbb54cd6abee	"How many glasses/cups a year are consumed of the drink made from black tea and milk in the city which as been given the labels of ""Gourmet Paradise"" and ""World's Fair of Food""?"	900 million		S	N	直接给出 900 million，但未形成闭合答案
S1-hit_invalid-04	1	hit_invalid	b4a9c814-d1b7-41bf-8d72-d76d6c2ce9bf	who plays miley's grandma in hannah montana?	Vicki Lawrence		S	N	直接给出 Vicki Lawrence 饰演 Mamaw Ruthie，但未形成闭合答案
S1-hit_invalid-05	1	hit_invalid	169912de-9918-4d69-b879-da877ec8ab86	Where is the place of death of the man who became leader of the largest country in Europe in square miles after the collapse of the nation leading the space race in April of 1961?	Moscow | Moscow, Russia		I	N	Moscow 来自错误人物 Yuri Levitansky，未识别俄罗斯领导人关系链
S1-miss_valid-01	1	miss_valid	2dc99fe6-901f-4d09-b657-7cca96d3e045	Who is Thierry Roussel's father-in-law?	Aristotle Onassis	Jean-Paul Grinda	I	W	证据未给 Aristotle Onassis，模型误取 Jean-Paul Grinda
S1-miss_valid-02	1	miss_valid	767d00ed-fd18-4c25-bbee-71e9e3bf2c5e	When was the director of film The Babe born?	November 22, 1923	1952	I	W	混淆 The Babe 与 Babe，选择了错误导演及出生年
S1-miss_valid-03	1	miss_valid	4c961d27-e9f9-4e08-9be7-74a9ad031c95	Do both Night Comes On and Namibia: The Struggle for Liberation films have the directors from the same country?	yes	Yes, both films are directed by Charles Burnett, who is American.	I	W	只找到 Namibia 影片信息，未识别 Night Comes On 导演
S1-miss_valid-04	1	miss_valid	176d495e-a619-4176-9a2d-40ab58effda7	Which country the director of film Flashing Spikes is from?	American	Adrian Lyne is from England.	I	W	已找到 John Ford 却错误改搜 Adrian Lyne，国籍回答错误
S1-miss_valid-05	1	miss_valid	e3a5eb5e-3d87-42fb-821d-7fcb57882d93	What is the place of birth of the performer of song Almost Blue (Song)?	London	London, England	I	C	证据识别演唱者但未给出生地；London 语义正确但缺可见支持
S1-miss_valid-06	1	miss_valid	cea4e01b-eaf0-4ecb-93da-607679e8c8cf	Do both directors of films They Shoot Horses, Don'T They? (Film) and Blackboard Jungle share the same nationality?	yes	"Yes, both directors of ""They Shoot Horses, Don't They?"" and ""Blackboard Jungle"" are American."	S	C	两部影片条目足以识别两位美国导演；yes 需组合推导且不会原样出现
S1-miss_valid-07	1	miss_valid	1dfd6425-5717-45e1-b577-1bc069099c73	Are Taleqan Tappeh and Toukouroua both located in the same country?	no	No, Taleqan Tappeh and Toukouroua are not located in the same country.	I	C	检索结果没有两个目标地点，no 与 gold 一致但证据不支持
S1-miss_valid-08	1	miss_valid	a4c26dc9-f819-42eb-8002-677584c1f12e	Which town on Monsweag Bay in Wiscasset, Maine had a population of 3,072 in the 2010 census?	Woolwich	Wiscasset (CDP), Maine had a population of 3,732 in the 2010 census.	I	W	检索到 Wiscasset 而非 Woolwich，人口也错误
S1-miss_valid-09	1	miss_valid	7db5ea15-ffcf-4a87-b09e-e6bfcca4b287	What did the publisher of Magnetica primarily rely on for its support?	first-party games	The publisher of Magnetica, Nintendo, relied on its internal development teams and the Nintendo Network for support.	I	W	未检索 Magnetica 对应的发行商支持事实
S1-miss_valid-10	1	miss_valid	058c37af-3a43-4468-835b-eb99eb357115	Are Jean Sévillia and Viktor Reimann of the same nationality?	no	No, Jean Sévillia and Viktor Reimann are not of the same nationality.	I	C	未检索两个目标人物，no 与 gold 一致但证据不支持
S1-miss_invalid-01	1	miss_invalid	109e0b3c-9c33-4cc3-b959-bb92592689d8	when did the way we were come out?	October 19, 1973		I	N	格式错误导致搜索未执行，无证据无答案
S1-miss_invalid-02	1	miss_invalid	06af45fb-4365-49cf-8999-8bc3ccb1061e	Who was elected president in 1992 of the country AS Maniema Union is located?	Pascal Lissouba		I	N	重复错误 query，未找到国家及 Pascal Lissouba
S1-miss_invalid-03	1	miss_invalid	dd98b0bf-9314-49d5-a413-4bf4e9a2b039	The current WBO Asia Pacific Super Middleweight Champion made his debut film appearance in a movie directed by who?	Kabir Sadanand		I	N	只识别 Vijender Singh，未找到首次电影及导演
S1-miss_invalid-04	1	miss_invalid	fba61a75-2c0c-49f7-8f8a-180c3e781d6e	where does the godfather rank on the american film institute's top 100 list?	2.		I	N	未检索到 AFI 第二名事实，重复搜索后未答
S1-miss_invalid-05	1	miss_invalid	5122acd7-df1e-4d7a-b260-49878f0ad24e	What is the undergraduate enrollment at the alma mater of the Funny Ha Ha cast member?	7,200		I	N	只找到影片和零散人物，未完成母校与本科人数链路
S2-hit_valid-01	2	hit_valid	11786cf2-b653-4a85-abdf-1349e9f3af65	The speaker of the governing body in India controlling the Prime Minister of India is elected by whom?	Parliament of India	The speaker of the governing body in India, the Lok Sabha, is elected by the members of the Lok Sabha through a simple majority of members present and voting. This ensures the speaker is chosen within the legislative body, not by the general public.	S	C	证据明确 Lok Sabha Speaker 由本院成员选举；回答更具体但不等于短 gold
S2-hit_valid-02	2	hit_valid	7b2e4cdd-1fbb-43d1-94c2-a0873d772f1f	Who is Anne Hastings, Countess Of Shrewsbury's mother-in-law?	Lady Catherine Stafford	Mary Talbot, Countess of Shrewsbury	S	W	证据明确丈夫的母亲是 Lady Catherine Stafford，模型误答 Mary Talbot
S2-hit_valid-03	2	hit_valid	0dc17705-bbbc-4b15-8552-4179cca3b212	The Liberator Magazine and Lapidary Journal Jewelry Artist, are which form of publication?	magazine	The Liberator Magazine and Lapidary Journal Jewelry Artist are forms of publication.	I	W	只确认 Liberator 是 publication，未确认两者共同类别为 magazine
S2-hit_valid-04	2	hit_valid	4814f7ac-94b6-4655-b4b1-f955c1ebe1ee	"Bailando 2010 was the sixth season of ""Bailando por un Sueño"", the season with the most replacements, due to the withdrawals of contestants, who is an Argentine singer, model and actress?"	Luciana Salazar	Sofía Zámolo	S	W	证据列出退出者 Luciana Salazar，模型误选 Sofía Zámolo
S2-hit_valid-05	2	hit_valid	900358ed-298e-47f4-8de5-b912d4ad4fb7	Who was born earlier, José María Galeano or Angelo Prisco?	Angelo Prisco	José María Galeano was born earlier than Angelo Prisco (March 25, 1799 vs. August 1, 1939).	I	W	没有检索到正确的 José María Galeano 出生信息，比较建立在同名错误实体上
S2-hit_valid-06	2	hit_valid	5fd2ae11-45e7-4129-881c-f8367968dfc3	What English football team is also known as the Vanarama National League North and has Reece Hands on the roster?	National League North	Gainsborough Trinity	S	W	证据同时给出 Gainsborough Trinity 与 National League North，模型回答球队而非数据集 gold
S2-hit_valid-07	2	hit_valid	556279c1-6d31-43bb-8889-2b0a5a4bd64d	how much is a shot of espresso in ml?	30 ml	A shot of espresso is typically 30 milliliters.	S	C	证据包含标准 30 ml，完整句导致 strict EM 失败
S2-hit_valid-08	2	hit_valid	e2214ee2-a52a-4240-9e45-3d456c5053ae	who won the icc womens world cup 2017?	England	England won the 2017 ICC Women's World Cup.	S	C	决赛证据支持 England 获胜，完整句导致 strict EM 失败
S2-hit_valid-09	2	hit_valid	78ba74b1-a23c-49c6-856d-6124e07f0d97	if an individual has an android pattern of fat distribution where will fat be predominantly stored?	shoulder | chest | abdomen | upper body | nape of the neck | trunk	Fat is predominantly stored in the trunk and upper body in an android pattern, including the abdomen and chest.	S	C	直接列出 trunk、upper body、abdomen 和 chest，回答语义正确但非单一短 span
S2-hit_valid-10	2	hit_valid	99f72310-12c5-42e5-8ec2-0e98255c249f	What county is Curtis Bledsoe's birthplace the capital of?	Ector County	Odessa, Texas is the capital of Ector County, Texas.	S	C	两跳证据确认 Odessa 是 Ector County county seat；capital 措辞不精确但命中 gold
S2-hit_invalid-01	2	hit_invalid	fa5a06ec-ea8f-49ad-bc5b-1029dd585b6a	When did Carl Philipp Emanuel Bach's mother die?	1720		S	N	母子关系与 1720 埋葬年份均明确，重复五次后未答
S2-hit_invalid-02	2	hit_invalid	f338b46d-80ed-46f7-8970-06eb77132282	where was far and away filmed in ireland?	Dublin		S	N	证据明确 Dublin 的拍摄地点，重复五次后未答
S2-hit_invalid-03	2	hit_invalid	7b005855-a97a-43d7-b2b5-dcf1a02f6acd	Since what year have the voters of the US state bordering to the east the death state of the performer of Hello Love leaned republican?	1976		I	N	1976 来自无关 Eric Elbogen，未完成 Hello Love 演唱者及州关系链
S2-hit_invalid-04	2	hit_invalid	1df86e85-a61d-4e1b-aada-f9f17b4bf1c4	When did the performer of Do Somethin' release her first album?	1999		I	N	混淆 Macy Gray 与 Britney Spears；1999 的出现未支持所问关系
S2-hit_invalid-05	2	hit_invalid	7ec2b49f-58aa-4c33-8d0a-436b02617b2c	in the canterbury tales who is the prioress?	Madame Eglantine		S	N	直接给出 Prioress 为 Madame Eglantine，但未形成答案
S2-miss_valid-01	2	miss_valid	79b8ceba-3458-4bdd-8eec-e8d7fcb60739	Are Kurukkalmadam and Shirabad, Razavi Khorasan both located in the same country?	no	No, Kurukkalmadam and Shirabad, Razavi Khorasan are not located in the same country.	I	C	没有检索到两个目标地点，no 与 gold 一致但缺证据支持
S2-miss_valid-02	2	miss_valid	564dd452-071d-46ed-a913-bfd9263f9635	When was the English professional football referee born who refereed The 2016 FA Cup Final?	13 March 1975	Anthony Taylor was born on 20 October 1978.	I	W	误认 2016 FA Cup Final 裁判为 Anthony Taylor，出生日期错误
S2-miss_valid-03	2	miss_valid	15de8a1b-b69c-4507-b16f-337b815c9c55	where was the second half of the american revolutionary war primarily fought?	the South	The second half of the American Revolutionary War was primarily fought in the Southern theater of the American Revolutionary War, which encompassed the Southern Colonies.	S	C	Southern theater 明确是后半程主要战区；the South 为组合式同义答案
S2-miss_valid-04	2	miss_valid	acf67601-7d54-4ace-9237-f4e008358fcf	"The event ""Bloody Wednesday"" is based on took place in what year?"	1984	1906	I	W	只识别影片对应事件，未检索 San Ysidro massacre 的 1984 年
S2-miss_valid-05	2	miss_valid	80965195-a954-481d-b9b0-d812724fc9b6	Which one was established first, Enerca or Mmm Global?	Enerca	Enerca was established first.	I	C	只明确 MMM 2011，未可靠识别 Enerca 的成立信息；答案符合 gold 但支持不足
S2-miss_valid-06	2	miss_valid	eebf7f80-b24a-4435-afd3-55e695b7c018	What is the date of birth of the director of film Kid Rodelo?	April 29, 1912	October 17, 1981	I	W	检索了错误影片与导演，未找到 Kid Rodelo 导演 Richard Carlson
S2-miss_valid-07	2	miss_valid	761379a5-6efc-47e4-8bf7-f7394755504c	Which country the director of film Andron (Film) is from?	Italian	Hungary	I	W	未识别 Andron 导演 Francesco Cinquemani，错误转向匈牙利人物
S2-miss_valid-08	2	miss_valid	aeb0c64f-6397-46b1-bf40-bee399bf32a1	Which conflict saw the participation of the 55th Infantry Division from the place where Wrightington Bar is located?	World War I | The Great War | World War | Great War	The conflict involving the 55th Infantry Division and Wrightington Bar is the Battle of Polygon Wood during World War I.	I	C	文档涉及 55th Division 但可见片段未建立 Wrightington 与一战参战链；答案缺充分支持
S2-miss_valid-09	2	miss_valid	562227d2-c78d-43a3-8a01-9c4628e4e01e	Where was the director of film Just Another Margin born?	Hong Kong	J. C. Chandor was born in Paris.	I	W	第一跳已给 Jeffrey Lau，第二跳误搜 J. C. Chandor，出生地错误
S2-miss_valid-10	2	miss_valid	eacef6ca-c549-40c5-afc7-e396d3165e28	The player who hit the most home runs in a single season played how many seasons of Major League Baseball ?	22 seasons	Barry Bonds hit the most home runs in a single season (73 in 2001) and played 22 seasons in Major League Baseball.	I	C	证据支持 Barry Bonds 单季纪录但未给 22 seasons；答案正确但依赖参数知识
S2-miss_invalid-01	2	miss_invalid	9378ae25-2939-4cd5-a0ab-111288d4f5c7	who is the most successful club in spain?	Real Madrid		I	N	搜索未执行，无证据无答案
S2-miss_invalid-02	2	miss_invalid	c3095233-ee5b-4813-a049-e2707d5991e1	When was Christiana Of Schleswig-Holstein-Sonderburg-Glücksburg's husband born?	27 October 1615		I	N	识别 husband 为 Christian I，但错搜另一 Friedrich，未得出生日期
S2-miss_invalid-03	2	miss_invalid	d73fddcc-12b9-4685-81d3-930790e0ca40	When is Victor Surdu's wife's birthday?	9 July 1946		I	N	错将 Ivonka Survilla 当作妻子，未检索 Andreea Marin 的生日
S2-miss_invalid-04	2	miss_invalid	6ed107d9-b51e-4f5f-92a5-9ea2805c4dd0	In what year was the National Hockey League team founded tht Karl Friesen played for?	1974		I	N	只确认 Karl Friesen 经历，未找到球队成立年份
S2-miss_invalid-05	2	miss_invalid	ff56d312-a15c-4166-aa76-6fe5e76a0a57	When did Hurricane Sandy hit the city where the performer of Left Alone was born?	October 28, 2012		I	N	地点与日期链路错误，未得到 gold 日期且未答
S3-hit_valid-01	3	hit_valid	3290606a-bd7f-46cb-bf56-4089195f5192	where must proposed legislation to raise governmental revenue through taxes originate?	in the House of Representatives	The proposed legislation to raise governmental revenue through taxes must originate in the House of Representatives.	S	C	直接说明 revenue bills originate in House；完整句导致 strict EM 失败
S3-hit_valid-02	3	hit_valid	7ee98dba-b163-44be-93b6-a0d7a0c9cdbd	Where did the director of film La Neve Nel Bicchiere die?	Rome	Paolo Genovese died in New York City, and Éric Névé died in Senegal.	I	W	Rome 只是 Paolo Genovese 出生地且导演实体也错误，未支持死亡地点
S3-hit_valid-03	3	hit_valid	94c1a679-a687-46bd-a176-66fd451c9a47	who plays the evil king in black panther?	Michael B. Jordan	Chadwick Boseman	I	W	Michael B. Jordan 只出现在演员表，未建立其饰演反派王的关系
S3-hit_valid-04	3	hit_valid	549021fa-6480-4f78-bf15-a2c5392392ea	Between Co-Ro Food and Pocari Sweat, which is manufactured in Asia?	Pocari Sweat	Pocari Sweat is manufactured in Asia.	I	C	只检索 Pocari 产品描述，未给制造地或 Co-Ro 对照；答案符合 gold 但支持不足
S3-hit_valid-05	3	hit_valid	7a663f41-8491-4582-b5cf-c89750989324	How did the Japanese win the country where Yangmingshan is located?	First Sino-Japanese | First Sino-Japanese War	The Japanese won Taiwan through military campaigns and victories, such as the Battle of Baguashan and the fall of Tainan, which led to five decades of Japanese rule in Taiwan.	S	W	证据明确台湾割让发生于甲午战争结束，回答改成后续军事行动而未答 gold
S3-hit_valid-06	3	hit_valid	135102df-c5c2-4966-afe8-3307b699386b	in 2012 which movie won every category in the 32nd golden raspberry awards?	Jack and Jill	Jack and Jill won every category at the 32nd Golden Raspberry Awards.	S	C	直接说明 Jack and Jill 赢下全部类别；完整句导致 strict EM 失败
S3-hit_valid-07	3	hit_valid	fbb94e98-1e7e-4729-9f3f-3d2cf3d8271e	What article of the constitution provides for the body, that congress delegated the responsibility of establishing court rules of conduct to?	Article Three	Article Three of the United States Constitution	S	C	Article Three 与司法分支关系明确，扩写全称导致 strict EM 失败
S3-hit_valid-08	3	hit_valid	730ce2c6-73b2-4e11-a8fa-5c6b3fc84d17	how many times have the steelers beat the cowboys?	15	4	S	W	赛事条目包含历史总胜场信息，模型把问题误解成超级碗次数并答 4
S3-hit_valid-09	3	hit_valid	0dc58b4e-e10b-4db0-a615-4ae639f95791	who did boston beat in the 2004 world series?	St. Louis Cardinals	Boston beat the St. Louis Cardinals in the 2004 World Series.	S	C	直接说明 Red Sox 击败 Cardinals；完整句导致 strict EM 失败
S3-hit_valid-10	3	hit_valid	82870e25-2a2a-411f-8592-6074acadbaf8	who smuggles sansa stark out of kings landing?	Ser Dontos	Baelish	A	W	证据明确 Baelish 实际带离 Sansa，同时 Ser Dontos 参与救援；问题角色边界有歧义
S3-hit_invalid-01	3	hit_invalid	9e3539ac-59eb-43c6-a363-ff70921ce8db	"Who is ""we belong together"" by the performer of ""Emotions about""?"	Tommy Mottola		S	N	证据说明歌曲视频与 Tommy Mottola 婚姻的关联，模型重复 query 后未答
S3-hit_invalid-02	3	hit_invalid	ccd0c44f-c4c2-4174-8082-8bcf68f44687	Which happened earlier, the founding of Vídeo Brinquedo, or the making of The Haunted World of El Superbeasto?	Vídeo Brinquedo		I	N	只找到两个作品条目，缺少可比较的成立与制作日期
S3-hit_invalid-03	3	hit_invalid	a574a9f3-7a1f-4063-a6ea-749fe6a615b8	Who was born first, Carina Massone Negrone or Perivaldo Dantas?	Carina Massone Negrone		I	N	只有 Carina 出生日期，缺少 Perivaldo 日期，不能完成比较
S3-hit_invalid-04	3	hit_invalid	0e75e7ec-7207-4144-9fd2-6cb80deb4bbc	how many quorums of the seventy are there in the lds church?	eight		S	N	直接说明共有 eight quorums，但未形成答案
S3-hit_invalid-05	3	hit_invalid	17f3ad4c-bc3c-4059-ad27-7ab965ed7f78	when did pele win his last world cup?	1970		S	N	直接列出 Pelé 三次夺冠及最后的 1970，但重复五次后未答
S3-miss_valid-01	3	miss_valid	7831c395-bea5-4036-88b0-44bb24a422ee	The lead singer for Seattle punk band The Gits sang with such conviction that the lyrics became what?	irrelevant	Git	I	W	只识别主唱 Mia Zapata，未检索歌词变得 irrelevant 的陈述
S3-miss_valid-02	3	miss_valid	45d7a81b-3b0d-4b84-aca9-439e4406aeae	What percentage of households in the city where WAYV is located were comprised of non-families?	44.8%	47.7%	I	W	没有识别 WAYV 所在城市，抽取了无关人口百分比
S3-miss_valid-03	3	miss_valid	b0daaeaf-a0fd-439a-8bdc-058dc1b5ea96	"Which English former professional footballer and children's writer. makes appearance in ""Oh Africa""?"	Frank Lampard	Michael Hardcastle	I	W	检索儿童作家而非 Oh Africa 出演者 Frank Lampard
S3-miss_valid-04	3	miss_valid	fe68c6a8-6503-4169-a679-41a8f6e5cf05	What is the name of the home stadium of this American professional baseball team based in Wisconsin that Turner Ward played on?	Miller Park	Borchert Field	I	W	未识别 Turner Ward 所属 Brewers，选择了错误历史球场
S3-miss_valid-05	3	miss_valid	d69c2997-0596-48e3-ab89-a3476eaa7413	The Albany and Schenectady Railroad was built as a quicker alternative to bypass a place that a feat of supernatural strength was performed by who?	The Great Peacemaker	John B. Jervis	I	W	只检索铁路路线，未找到 Pine Bush 传说及 Great Peacemaker
S3-miss_valid-06	3	miss_valid	2ad37419-25b8-4371-bf9a-8bf2436d0de6	when does kaito know that luchia is a mermaid?	Last Kiss	Kaito realizes Luchia is a mermaid during the story's progression when they meet or when a critical event occurs, as the narrative suggests he doesn't recognize her in human form.	I	W	只得到剧情设定，未检索具体集名 Last Kiss
S3-miss_valid-07	3	miss_valid	6947132b-cd2b-4afe-bd4c-0b7b339c4d28	Are the movies The Five Cents Of Lavarede (1913 Film) and An Almost Merry Widow, from the same country?	no	"Insufficient information available about ""An Almost Merry Widow"" to determine its country of origin. Further research is needed."	I	W	未找到两个目标影片，模型明确表示证据不足
S3-miss_valid-08	3	miss_valid	09372da2-4337-483e-a047-8321dc63fcfa	when did the first touch tone phone come out?	18 November 1963	1963	S	P	证据给出完整 1963-11-18，模型只回答年份，部分正确但不满足 gold 粒度
S3-miss_valid-09	3	miss_valid	4b4b9f22-b9ad-4565-ba04-1e7d8c576cbb	how many smithsonian museums are there in the work location of the president who signed the Endangered Species Act of 1973 into law?	Seventeen	19	I	W	识别 Nixon 和 Washington 方向，但未取得 Smithsonian 17 的数据
S3-miss_valid-10	3	miss_valid	f34db63a-2793-4ad3-ae4f-de80e963e209	"Grindhouse is a horror film double feature consisting of ""Planet Terror"" and an American exploitation film about a stuntman who murders young women in what?"	staged car accidents	Planet Terror	S	W	证据明确 Death Proof 用 stunt car 谋杀女性，可推得 staged car accidents；模型答错片名
S3-miss_invalid-01	3	miss_invalid	a61d0305-36a4-4647-8696-ecffb0f16490	Beach Blanket Bingo starred which American actress and singer born on October 22, 1942?	Annette Funicello		I	N	未执行搜索，无证据无答案
S3-miss_invalid-02	3	miss_invalid	0e60311d-4e73-426b-b5c2-5fdb40a30bdc	"What was ""The Hunger Games"" character that was played by one of the stars in ""The Duel""?"	Gale Hawthorne		I	N	未执行搜索，无证据无答案
S3-miss_invalid-03	3	miss_invalid	dbfc1f23-cacb-42b2-816d-f1ad4544b3f8	Coverage of which international situation from 2015 earned the Pulitzer prize for the photojournalist Sergey Ponomarev?	European migrant crisis		I	N	格式错误导致搜索未执行，无证据无答案
S3-miss_invalid-04	3	miss_invalid	cf600aff-1887-4ac6-98db-d4ae46112745	When did the performer of song De Tha Xanagapiso die?	14 September 2001		I	N	检索完全无关人物，未找到歌曲演唱者及死亡日期
S3-miss_invalid-05	3	miss_invalid	29f8d8b9-16c0-4369-83a4-3a384ffbebe3	A country has the soccer club with the name of Jörg van Nieuwenhuijzen's team. Which kingdom adopted coat of arms of the country with its official name sometimes known as this country?	Kingdom of the Netherlands | Holland | NL | nl | Netherlands | NED | the Netherlands		I	N	重复球队 query，未完成国家与纹章王国链路
S4-hit_valid-01	4	hit_valid	a3fd5dce-9bf4-4bce-af6d-ce165f98e865	Garageland took its band name from a song by which English punk band?	The Clash	"The English punk band The Clash took ""Garageland"" as their band name."	S	C	直接说明乐队名取自 The Clash 的歌曲；句子主语表达别扭但答案明确
S4-hit_valid-02	4	hit_valid	959f767a-4c9f-4a5f-acae-e5bb870e1a6e	when does 47 meters down come in theaters?	June 2017	47 Meters Down was released in the United States on June 16, 2017, and in the United Kingdom on July 26, 2017.	S	C	直接给出美国 2017-06-16 上映；更精确日期和英国日期使输出不等于短 gold
S4-hit_valid-03	4	hit_valid	1ab3da2f-e45f-4b6c-8bfd-4e10535313ba	What is the Twelve Level Cap in regards to Confucianism?	rank system	The Twelve Level Cap and Rank System is a Confucian system established in 603, adapted from Chinese systems, with officials wearing silk caps decorated with gold and silver and a feather indicating rank. The ranks were based on the six Confucian virtues.	S	C	条目明确其为 cap and rank system；长解释导致 strict EM 失败
S4-hit_valid-04	4	hit_valid	865aa8d8-3c02-4a14-b83b-aa9dcc33d3c8	In what part of England does The Dean of Blackburn head the chapter of canons?	Lancashire	Lancashire, England	S	C	Blackburn diocese 与 Lancashire 地理关系明确，回答增加 England
S4-hit_valid-05	4	hit_valid	5fb5e78d-4466-43f2-8329-23b8d1574851	What is the record label of the lyricist who composed The Sound of Silence?	Warner Bros.	"The record label of ""The Sound of Silence"" is Columbia Records."	I	W	Warner Bros. 只在无关 Nonesuch 分发关系出现，未检索 lyricist 的唱片公司
S4-hit_valid-06	4	hit_valid	90ab8391-9cb5-4edb-ac99-61c42820d44f	the early work into the phenomenon called instinctive drift was performed by?	Marian Breland | Keller Breland	Keller and Marian Breland	S	C	直接给出 Keller 与 Marian Breland 两人，语义正确
S4-hit_valid-07	4	hit_valid	fdfb9be0-6c99-4629-bd44-c446e5100f84	where is the show wild n out located?	Los Angeles	Wild 'n Out is located in New York City, Los Angeles, and Atlanta, Georgia.	S	P	证据说明不同时期在纽约、洛杉矶和亚特兰大制作；输出包含 gold 但未按所问时点收敛
S4-hit_valid-08	4	hit_valid	452a3c57-30a4-43a3-be77-5247f98ba7a6	what age can you get married in south africa?	18	You must be at least 18 years old to get married in South Africa.	A	C	不同婚姻制度和同意条件对应不同年龄，证据本身存在多口径；答案符合 gold
S4-hit_valid-09	4	hit_valid	67949a77-46e2-45ee-bc9f-8a9300f85aee	What is the cause of death of director of film Gung Ho!?	heart attack	"The director of the film ""Gung Ho!"" is Ray Enright, who died of a spinal injury on September 4, 1953."	I	W	heart attack 属于无关 George Ray，未给导演 Ray Enright 的真实死因
S4-hit_valid-10	4	hit_valid	a674530d-22f9-41ae-a63b-661e75bfd496	Where did the director of film Men On Her Mind die?	Hollywood	Helen Walker died in North Hollywood, California.	I	W	Helen Walker 是演员而非该片导演，Hollywood 仅无关行程出现
S4-hit_invalid-01	4	hit_invalid	91bf3dbc-b063-4db6-b307-81aa9afaf2dd	What are both Thomson MO5 and Atari Falcon?	computer		S	N	两台设备均被明确描述为 computer，但未答
S4-hit_invalid-02	4	hit_invalid	41250c2d-f8f8-4f16-8b73-d292288529db	how many days in a julian calendar year?	365.25		S	N	直接给出 Julian year 平均 365.25 天，但未答
S4-hit_invalid-03	4	hit_invalid	50fa4ac6-f1ea-4dfa-ab01-ad5662f4772a	Past Midnight is a 1991 Neo-noir thriller film starring a stage and screen actress of what nationality?	English		I	N	English 来自无关 Elizabeth Allan，未建立 Past Midnight 女主演国籍
S4-hit_invalid-04	4	hit_invalid	2ec826da-bf76-4178-ac62-d34dc2c8f626	What types of literature did both James McBride and Robert E. Howard compose?	fiction		I	N	只确认 James McBride 写 fiction，缺 Robert E. Howard 对照
S4-hit_invalid-05	4	hit_invalid	602fa2f5-1460-454e-8b1d-9d017fee8359	Are Cinema Prague and Lewis Del Mar both from the same country?	no		I	N	只检索 Prague 电影业，未识别 Cinema Prague 乐队和 Lewis Del Mar
